full_text,text_cleaned_initial,text_no_emojis,text_casefolded,text_slang_fixed,text_tokenized,text_stopwords_removed
Cung yg ga buat #kaburajadulu pusing ga tuh kalian sekarang ada ww3 kita kan negara non block MALU GA? WKWK Dah sana kalian disana aja selamat ikit ww3,Cung yg ga buat  pusing ga tuh kalian sekarang ada ww kita kan negara non block MALU GA WKWK Dah sana kalian disana aja selamat ikit ww,Cung yg ga buat  pusing ga tuh kalian sekarang ada ww kita kan negara non block MALU GA WKWK Dah sana kalian disana aja selamat ikit ww,cung yg ga buat  pusing ga tuh kalian sekarang ada ww kita kan negara non block malu ga wkwk dah sana kalian disana aja selamat ikit ww,cung yang ga buat pusing ga tuh kalian sekarang ada ww kita kan negara non block malu ga wkwk deh sana kalian disana saja selamat ikit ww,"['cung', 'yang', 'ga', 'buat', 'pusing', 'ga', 'tuh', 'kalian', 'sekarang', 'ada', 'ww', 'kita', 'kan', 'negara', 'non', 'block', 'malu', 'ga', 'wkwk', 'deh', 'sana', 'kalian', 'disana', 'saja', 'selamat', 'ikit', 'ww']","['cung', 'pusing', 'tuh', 'ww', 'negara', 'non', 'block', 'malu', 'wkwk', 'deh', 'disana', 'selamat', 'ikit', 'ww']"
GASSSSSSSS AKU SIH GASSSSSS GOSAH CONFASS CONFESSSSSSS #KABURAJADULU,GASSSSSSSS AKU SIH GASSSSSS GOSAH CONFASS CONFESSSSSSS,GASSSSSSSS AKU SIH GASSSSSS GOSAH CONFASS CONFESSSSSSS,gassssssss aku sih gassssss gosah confass confesssssss,gassssssss aku sih gassssss gosah confass confesssssss,"['gassssssss', 'aku', 'sih', 'gassssss', 'gosah', 'confass', 'confesssssss']","['gassssssss', 'gassssss', 'gosah', 'confass', 'confesssssss']"
@apratomo81 @GreenpeaceID @prabowo Udah males bang mau #kaburajadulu soalnya pilihannya terbatas kemaren dan banyak drama No. 1 pura - pura pikun No. 2 Mertua oligarki No.3 dari banteng (tau lah kan banteng masalahnya apa aja..?),Udah males bang mau  soalnya pilihannya terbatas kemaren dan banyak drama No  pura  pura pikun No  Mertua oligarki No dari banteng tau lah kan banteng masalahnya apa aja,Udah males bang mau  soalnya pilihannya terbatas kemaren dan banyak drama No  pura  pura pikun No  Mertua oligarki No dari banteng tau lah kan banteng masalahnya apa aja,udah males bang mau  soalnya pilihannya terbatas kemaren dan banyak drama no  pura  pura pikun no  mertua oligarki no dari banteng tau lah kan banteng masalahnya apa aja,sudah males bang mau soalnya pilihannya terbatas kemarin dan banyak drama no pura pura pikun no mertua oligarki no dari banteng tahu lah kan banteng masalahnya apa saja,"['sudah', 'males', 'bang', 'mau', 'soalnya', 'pilihannya', 'terbatas', 'kemarin', 'dan', 'banyak', 'drama', 'no', 'pura', 'pura', 'pikun', 'no', 'mertua', 'oligarki', 'no', 'dari', 'banteng', 'tahu', 'lah', 'kan', 'banteng', 'masalahnya', 'apa', 'saja']","['males', 'bang', 'pilihannya', 'terbatas', 'kemarin', 'drama', 'pura', 'pura', 'pikun', 'mertua', 'oligarki', 'banteng', 'banteng']"
nyaris subuh thought: 1. yang kemarin #kaburajadulu NGAPAEN sekarang? indonesia tanah air beta kan negara non blok jadi ya masih aman. UDAH PADA BELI ROMPI ANTI RUDAL??? 2. soal ketahanan pangan diketawain kan kemarin? gimana sekarang???? banyak orang dimutasi ke kementan.,nyaris subuh thought  yang kemarin  NGAPAEN sekarang indonesia tanah air beta kan negara non blok jadi ya masih aman UDAH PADA BELI ROMPI ANTI RUDAL  soal ketahanan pangan diketawain kan kemarin gimana sekarang banyak orang dimutasi ke kementan,nyaris subuh thought  yang kemarin  NGAPAEN sekarang indonesia tanah air beta kan negara non blok jadi ya masih aman UDAH PADA BELI ROMPI ANTI RUDAL  soal ketahanan pangan diketawain kan kemarin gimana sekarang banyak orang dimutasi ke kementan,nyaris subuh thought  yang kemarin  ngapaen sekarang indonesia tanah air beta kan negara non blok jadi ya masih aman udah pada beli rompi anti rudal  soal ketahanan pangan diketawain kan kemarin gimana sekarang banyak orang dimutasi ke kementan,nyaris subuh thought yang kemarin ngapaen sekarang indonesia tanah air beta kan negara non blok jadi iya masih aman sudah pada beli rompi anti rudal soal ketahanan pangan diketawain kan kemarin bagaimana sekarang banyak orang dimutasi ke kementan,"['nyaris', 'subuh', 'thought', 'yang', 'kemarin', 'ngapaen', 'sekarang', 'indonesia', 'tanah', 'air', 'beta', 'kan', 'negara', 'non', 'blok', 'jadi', 'iya', 'masih', 'aman', 'sudah', 'pada', 'beli', 'rompi', 'anti', 'rudal', 'soal', 'ketahanan', 'pangan', 'diketawain', 'kan', 'kemarin', 'bagaimana', 'sekarang', 'banyak', 'orang', 'dimutasi', 'ke', 'kementan']","['subuh', 'thought', 'kemarin', 'ngapaen', 'indonesia', 'tanah', 'air', 'beta', 'negara', 'non', 'blok', 'aman', 'beli', 'rompi', 'anti', 'rudal', 'ketahanan', 'pangan', 'diketawain', 'kemarin', 'orang', 'dimutasi', 'kementan']"
@CHWEISMSE OMG KAK? hi namaku iriiii wow congrats ya kak km keren bisa #kaburajadulu semoga aku bisa nyusul,OMG KAK hi namaku iriiii wow congrats ya kak km keren bisa  semoga aku bisa nyusul,OMG KAK hi namaku iriiii wow congrats ya kak km keren bisa  semoga aku bisa nyusul,omg kak hi namaku iriiii wow congrats ya kak km keren bisa  semoga aku bisa nyusul,omg kak hai namaku iriiii wow congrats iya kak kamu keren bisa semoga aku bisa nyusul,"['omg', 'kak', 'hai', 'namaku', 'iriiii', 'wow', 'congrats', 'iya', 'kak', 'kamu', 'keren', 'bisa', 'semoga', 'aku', 'bisa', 'nyusul']","['omg', 'kak', 'hai', 'namaku', 'iriiii', 'wow', 'congrats', 'kak', 'keren', 'semoga', 'nyusul']"
@pecintaikannih hahaha dilema sekarang mereka kaum KaburAjaDulu,hahaha dilema sekarang mereka kaum KaburAjaDulu,hahaha dilema sekarang mereka kaum KaburAjaDulu,hahaha dilema sekarang mereka kaum kaburajadulu,hahaha dilema sekarang mereka kaum kaburajadulu,"['hahaha', 'dilema', 'sekarang', 'mereka', 'kaum', 'kaburajadulu']","['hahaha', 'dilema', 'kaum', 'kaburajadulu']"
@Kimberley_PS08 kalau mau jadi perdana menteri mending pindah ke malaysia nies sekalian ajak tuh anak anak abah pindah kesana.. dulu kan katanya anak anak abah mau kaburajadulu tapi kenapa malah pada sibuk rebahan sambil berkhayal?,PS kalau mau jadi perdana menteri mending pindah ke malaysia nies sekalian ajak tuh anak anak abah pindah kesana dulu kan katanya anak anak abah mau kaburajadulu tapi kenapa malah pada sibuk rebahan sambil berkhayal,PS kalau mau jadi perdana menteri mending pindah ke malaysia nies sekalian ajak tuh anak anak abah pindah kesana dulu kan katanya anak anak abah mau kaburajadulu tapi kenapa malah pada sibuk rebahan sambil berkhayal,ps kalau mau jadi perdana menteri mending pindah ke malaysia nies sekalian ajak tuh anak anak abah pindah kesana dulu kan katanya anak anak abah mau kaburajadulu tapi kenapa malah pada sibuk rebahan sambil berkhayal,ps kalau mau jadi perdana menteri lebih baik pindah ke malaysia nies sekalian ajak tuh anak anak abah pindah kesana dulu kan katanya anak anak abah mau kaburajadulu tapi kenapa bahkan pada sibuk rebahan sambil berkhayal,"['ps', 'kalau', 'mau', 'jadi', 'perdana', 'menteri', 'lebih', 'baik', 'pindah', 'ke', 'malaysia', 'nies', 'sekalian', 'ajak', 'tuh', 'anak', 'anak', 'abah', 'pindah', 'kesana', 'dulu', 'kan', 'katanya', 'anak', 'anak', 'abah', 'mau', 'kaburajadulu', 'tapi', 'kenapa', 'bahkan', 'pada', 'sibuk', 'rebahan', 'sambil', 'berkhayal']","['ps', 'perdana', 'menteri', 'pindah', 'malaysia', 'nies', 'ajak', 'tuh', 'anak', 'anak', 'abah', 'pindah', 'kesana', 'anak', 'anak', 'abah', 'kaburajadulu', 'sibuk', 'rebahan', 'berkhayal']"
Indonesia bisa kebanjiran kaum KaburAjaDulu dari luar negri. Sedang di Indonesia ada yang mau KaburAjaDulu karena majikan koruptornya tertangkap.,Indonesia bisa kebanjiran kaum KaburAjaDulu dari luar negri Sedang di Indonesia ada yang mau KaburAjaDulu karena majikan koruptornya tertangkap,Indonesia bisa kebanjiran kaum KaburAjaDulu dari luar negri Sedang di Indonesia ada yang mau KaburAjaDulu karena majikan koruptornya tertangkap,indonesia bisa kebanjiran kaum kaburajadulu dari luar negri sedang di indonesia ada yang mau kaburajadulu karena majikan koruptornya tertangkap,indonesia bisa kebanjiran kaum kaburajadulu dari luar negri sedang di indonesia ada yang mau kaburajadulu karena majikan koruptornya tertangkap,"['indonesia', 'bisa', 'kebanjiran', 'kaum', 'kaburajadulu', 'dari', 'luar', 'negri', 'sedang', 'di', 'indonesia', 'ada', 'yang', 'mau', 'kaburajadulu', 'karena', 'majikan', 'koruptornya', 'tertangkap']","['indonesia', 'kebanjiran', 'kaum', 'kaburajadulu', 'negri', 'indonesia', 'kaburajadulu', 'majikan', 'koruptornya', 'tertangkap']"
@CHWEISMSE KAK NESSS CONGRATSSS!!!! HAHAHA WELKAM TU DE KLEB #kaburajadulu SEMANGAT SLALU KITA,KAK NESSS CONGRATSSS HAHAHA WELKAM TU DE KLEB  SEMANGAT SLALU KITA,KAK NESSS CONGRATSSS HAHAHA WELKAM TU DE KLEB  SEMANGAT SLALU KITA,kak nesss congratsss hahaha welkam tu de kleb  semangat slalu kita,kak nesss congratsss hahaha welkam tu adik kleb semangat slalu kita,"['kak', 'nesss', 'congratsss', 'hahaha', 'welkam', 'tu', 'adik', 'kleb', 'semangat', 'slalu', 'kita']","['kak', 'nesss', 'congratsss', 'hahaha', 'welkam', 'tu', 'adik', 'kleb', 'semangat', 'slalu']"
@sar9429 @didienAZHAR ya iaaa . . #KaburAjaDulu,ya iaaa,ya iaaa,ya iaaa,iya iaaa,"['iya', 'iaaa']",['iaaa']
@ajuyeonie @IndoPopBase makanya pdhl gw kan mau kaburajadulu ya,makanya pdhl gw kan mau kaburajadulu ya,makanya pdhl gw kan mau kaburajadulu ya,makanya pdhl gw kan mau kaburajadulu ya,makanya pdhl saya kan mau kaburajadulu iya,"['makanya', 'pdhl', 'saya', 'kan', 'mau', 'kaburajadulu', 'iya']","['pdhl', 'kaburajadulu']"
@CHWEISMSE Kak?? Keren banget semoga ak jg bisa nyusul #kaburajadulu,Kak Keren banget semoga ak jg bisa nyusul,Kak Keren banget semoga ak jg bisa nyusul,kak keren banget semoga ak jg bisa nyusul,kak keren banget semoga saya juga bisa nyusul,"['kak', 'keren', 'banget', 'semoga', 'saya', 'juga', 'bisa', 'nyusul']","['kak', 'keren', 'banget', 'semoga', 'nyusul']"
@Acheoron WOI sabar belumn bikin visa #kaburajadulu,WOI sabar belumn bikin visa,WOI sabar belumn bikin visa,woi sabar belumn bikin visa,woi sabar belumn bikin visa,"['woi', 'sabar', 'belumn', 'bikin', 'visa']","['sabar', 'belumn', 'bikin', 'visa']"
@abulmuzaffar10 Mau perang dunia di timteng malah disuruh #kaburajadulu ke negara teluk :(,Mau perang dunia di timteng malah disuruh  ke negara teluk,Mau perang dunia di timteng malah disuruh  ke negara teluk,mau perang dunia di timteng malah disuruh  ke negara teluk,mau perang dunia di timteng bahkan disuruh ke negara teluk,"['mau', 'perang', 'dunia', 'di', 'timteng', 'bahkan', 'disuruh', 'ke', 'negara', 'teluk']","['perang', 'dunia', 'timteng', 'disuruh', 'negara', 'teluk']"
- kadang ak dukung penuh impian besar &amp; keputusan kakakku ke jpn tu oke bgt patut diperjuangkan - kadang ngerasa berarti dia egois g mau urusin usaha klrga - kadang berdoa dia big succes di jpn biar sekalian ikut kaburajadulu soalny mau sebangsa yg besar apapun indon ni ttp setan,kadang ak dukung penuh impian besar amp keputusan kakakku ke jpn tu oke bgt patut diperjuangkan  kadang ngerasa berarti dia egois g mau urusin usaha klrga  kadang berdoa dia big succes di jpn biar sekalian ikut kaburajadulu soalny mau sebangsa yg besar apapun indon ni ttp setan,kadang ak dukung penuh impian besar amp keputusan kakakku ke jpn tu oke bgt patut diperjuangkan  kadang ngerasa berarti dia egois g mau urusin usaha klrga  kadang berdoa dia big succes di jpn biar sekalian ikut kaburajadulu soalny mau sebangsa yg besar apapun indon ni ttp setan,kadang ak dukung penuh impian besar amp keputusan kakakku ke jpn tu oke bgt patut diperjuangkan  kadang ngerasa berarti dia egois g mau urusin usaha klrga  kadang berdoa dia big succes di jpn biar sekalian ikut kaburajadulu soalny mau sebangsa yg besar apapun indon ni ttp setan,kadang saya dukung penuh impian besar amp keputusan kakakku ke jpn tu oke banget patut diperjuangkan kadang ngerasa berarti dia egois g mau urusin usaha klrga kadang berdoa dia big succes di jpn biar sekalian ikut kaburajadulu soalny mau sebangsa yang besar apapun indon ini ttp setan,"['kadang', 'saya', 'dukung', 'penuh', 'impian', 'besar', 'amp', 'keputusan', 'kakakku', 'ke', 'jpn', 'tu', 'oke', 'banget', 'patut', 'diperjuangkan', 'kadang', 'ngerasa', 'berarti', 'dia', 'egois', 'g', 'mau', 'urusin', 'usaha', 'klrga', 'kadang', 'berdoa', 'dia', 'big', 'succes', 'di', 'jpn', 'biar', 'sekalian', 'ikut', 'kaburajadulu', 'soalny', 'mau', 'sebangsa', 'yang', 'besar', 'apapun', 'indon', 'ini', 'ttp', 'setan']","['kadang', 'dukung', 'penuh', 'impian', 'amp', 'keputusan', 'kakakku', 'jpn', 'tu', 'oke', 'banget', 'patut', 'diperjuangkan', 'kadang', 'ngerasa', 'egois', 'g', 'urusin', 'usaha', 'klrga', 'kadang', 'berdoa', 'big', 'succes', 'jpn', 'biar', 'kaburajadulu', 'soalny', 'sebangsa', 'apapun', 'indon', 'ttp', 'setan']"
@mie__iam Bakar kantornya yang lama. Tapi jawaban seriusnya emang harus rajin kirim tiap hari lewat jobstreet + follow irstudents di ig kalo mau kerjaan yang #kaburajadulu. Sama kalo lowongan kreatif bisa ke geometrymedia.,iam Bakar kantornya yang lama Tapi jawaban seriusnya emang harus rajin kirim tiap hari lewat jobstreet  follow irstudents di ig kalo mau kerjaan yang  Sama kalo lowongan kreatif bisa ke geometrymedia,iam Bakar kantornya yang lama Tapi jawaban seriusnya emang harus rajin kirim tiap hari lewat jobstreet  follow irstudents di ig kalo mau kerjaan yang  Sama kalo lowongan kreatif bisa ke geometrymedia,iam bakar kantornya yang lama tapi jawaban seriusnya emang harus rajin kirim tiap hari lewat jobstreet  follow irstudents di ig kalo mau kerjaan yang  sama kalo lowongan kreatif bisa ke geometrymedia,iam bakar kantornya yang lama tapi jawaban seriusnya emang harus rajin kirim tiap hari lewat jobstreet follow irstudents di ig kalau mau kerjaan yang sama kalau lowongan kreatif bisa ke geometrymedia,"['iam', 'bakar', 'kantornya', 'yang', 'lama', 'tapi', 'jawaban', 'seriusnya', 'emang', 'harus', 'rajin', 'kirim', 'tiap', 'hari', 'lewat', 'jobstreet', 'follow', 'irstudents', 'di', 'ig', 'kalau', 'mau', 'kerjaan', 'yang', 'sama', 'kalau', 'lowongan', 'kreatif', 'bisa', 'ke', 'geometrymedia']","['iam', 'bakar', 'kantornya', 'seriusnya', 'emang', 'rajin', 'kirim', 'jobstreet', 'follow', 'irstudents', 'ig', 'kerjaan', 'lowongan', 'kreatif', 'geometrymedia']"
#kaburajadulu sepertinya salah satu jawaban yang tepat untuk berada di tempat yang tepat,sepertinya salah satu jawaban yang tepat untuk berada di tempat yang tepat,sepertinya salah satu jawaban yang tepat untuk berada di tempat yang tepat,sepertinya salah satu jawaban yang tepat untuk berada di tempat yang tepat,sepertinya salah satu jawaban yang tepat untuk berada di tempat yang tepat,"['sepertinya', 'salah', 'satu', 'jawaban', 'yang', 'tepat', 'untuk', 'berada', 'di', 'tempat', 'yang', 'tepat']",['salah']
singkat padat #KaburAjaDulu ,singkat padat,singkat padat,singkat padat,singkat padat,"['singkat', 'padat']","['singkat', 'padat']"
mending kalian #kaburajadulu ke Republik Jevolante lebih aman nyaman dan tentram kok. let's goo ,mending kalian  ke Republik Jevolante lebih aman nyaman dan tentram kok lets goo,mending kalian  ke Republik Jevolante lebih aman nyaman dan tentram kok lets goo,mending kalian  ke republik jevolante lebih aman nyaman dan tentram kok lets goo,lebih baik kalian ke republik jevolante lebih aman nyaman dan tentram kok lets goo,"['lebih', 'baik', 'kalian', 'ke', 'republik', 'jevolante', 'lebih', 'aman', 'nyaman', 'dan', 'tentram', 'kok', 'lets', 'goo']","['republik', 'jevolante', 'aman', 'nyaman', 'tentram', 'lets', 'goo']"
@peakmori Disuruh pindah ke US itu tandanya #.KaburAjaDulu,Disuruh pindah ke US itu tandanya KaburAjaDulu,Disuruh pindah ke US itu tandanya KaburAjaDulu,disuruh pindah ke us itu tandanya kaburajadulu,disuruh pindah ke us itu tandanya kaburajadulu,"['disuruh', 'pindah', 'ke', 'us', 'itu', 'tandanya', 'kaburajadulu']","['disuruh', 'pindah', 'us', 'tandanya', 'kaburajadulu']"
Australia kalo gak ada laba-laba sama uler yang aneh-aneh tuh pengen banget dah #kaburajadulu ke sana ,Australia kalo gak ada labalaba sama uler yang anehaneh tuh pengen banget dah  ke sana,Australia kalo gak ada labalaba sama uler yang anehaneh tuh pengen banget dah  ke sana,australia kalo gak ada labalaba sama uler yang anehaneh tuh pengen banget dah  ke sana,australia kalau gak ada labalaba sama uler yang anehaneh tuh pengen banget deh ke sana,"['australia', 'kalau', 'gak', 'ada', 'labalaba', 'sama', 'uler', 'yang', 'anehaneh', 'tuh', 'pengen', 'banget', 'deh', 'ke', 'sana']","['australia', 'labalaba', 'uler', 'anehaneh', 'tuh', 'pengen', 'banget', 'deh']"
Gini mau #KaburAjaDulu? Baru liat drag race langsung mati ditempat kali,Gini mau  Baru liat drag race langsung mati ditempat kali,Gini mau  Baru liat drag race langsung mati ditempat kali,gini mau  baru liat drag race langsung mati ditempat kali,gini mau baru lihat drag race langsung mati ditempat kali,"['gini', 'mau', 'baru', 'lihat', 'drag', 'race', 'langsung', 'mati', 'ditempat', 'kali']","['gini', 'lihat', 'drag', 'race', 'langsung', 'mati', 'ditempat', 'kali']"
@tanyarlfes belajar biar bisa #KaburAjaDulu https://t.co/kVBTWU4Dax,belajar biar bisa,belajar biar bisa,belajar biar bisa,belajar biar bisa,"['belajar', 'biar', 'bisa']","['belajar', 'biar']"
@KangManto123 +62 makin kesini makin buyar... Pemerintah program kerja bahkan internet pun ora diurus? Gmana mau maju??? Definisi #IndonesiaGelap yg sesungguhnya. #KaburAjaDulu,makin kesini makin buyar Pemerintah program kerja bahkan internet pun ora diurus Gmana mau maju Definisi  yg sesungguhnya,makin kesini makin buyar Pemerintah program kerja bahkan internet pun ora diurus Gmana mau maju Definisi  yg sesungguhnya,makin kesini makin buyar pemerintah program kerja bahkan internet pun ora diurus gmana mau maju definisi  yg sesungguhnya,makin kesini makin buyar pemerintah program kerja bahkan internet pun ora diurus bagaimana mau maju definisi yang sesungguhnya,"['makin', 'kesini', 'makin', 'buyar', 'pemerintah', 'program', 'kerja', 'bahkan', 'internet', 'pun', 'ora', 'diurus', 'bagaimana', 'mau', 'maju', 'definisi', 'yang', 'sesungguhnya']","['kesini', 'buyar', 'pemerintah', 'program', 'kerja', 'internet', 'ora', 'diurus', 'maju', 'definisi', 'sesungguhnya']"
@Iovelsabeauty Sungchan itu Jersey yang lu pake rakyatnya mau kaburajadulu,Sungchan itu Jersey yang lu pake rakyatnya mau kaburajadulu,Sungchan itu Jersey yang lu pake rakyatnya mau kaburajadulu,sungchan itu jersey yang lu pake rakyatnya mau kaburajadulu,sungchan itu jersey yang kamu pakai rakyatnya mau kaburajadulu,"['sungchan', 'itu', 'jersey', 'yang', 'kamu', 'pakai', 'rakyatnya', 'mau', 'kaburajadulu']","['sungchan', 'jersey', 'pakai', 'rakyatnya', 'kaburajadulu']"
@breadluvpham misi #kaburajadulu selesai safe flight kak,misi  selesai safe flight kak,misi  selesai safe flight kak,misi  selesai safe flight kak,misi selesai safe flight kak,"['misi', 'selesai', 'safe', 'flight', 'kak']","['misi', 'selesai', 'safe', 'flight', 'kak']"
@The_RedsIndo #kaburajadulu (dari bumi),RedsIndo  dari bumi,RedsIndo  dari bumi,redsindo  dari bumi,redsindo dari bumi,"['redsindo', 'dari', 'bumi']","['redsindo', 'bumi']"
@talevangelism Sungchan mau tau ga disini ada tren #kaburajadulu,Sungchan mau tau ga disini ada tren,Sungchan mau tau ga disini ada tren,sungchan mau tau ga disini ada tren,sungchan mau tahu ga disini ada trend,"['sungchan', 'mau', 'tahu', 'ga', 'disini', 'ada', 'trend']","['sungchan', 'trend']"
pengen #kaburajadulu tp liat kondisi gini merasa terpanggil masih punya kemampuan buat bantu ,pengen  tp liat kondisi gini merasa terpanggil masih punya kemampuan buat bantu,pengen  tp liat kondisi gini merasa terpanggil masih punya kemampuan buat bantu,pengen  tp liat kondisi gini merasa terpanggil masih punya kemampuan buat bantu,pengen tapi lihat kondisi gini merasa terpanggil masih punya kemampuan buat bantu,"['pengen', 'tapi', 'lihat', 'kondisi', 'gini', 'merasa', 'terpanggil', 'masih', 'punya', 'kemampuan', 'buat', 'bantu']","['pengen', 'lihat', 'kondisi', 'gini', 'terpanggil', 'kemampuan', 'bantu']"
@didienAZHAR Seharusnya #kaburajadulu . Tinggal permanen di Vatican.,Seharusnya   Tinggal permanen di Vatican,Seharusnya   Tinggal permanen di Vatican,seharusnya   tinggal permanen di vatican,seharusnya tinggal permanen di vatican,"['seharusnya', 'tinggal', 'permanen', 'di', 'vatican']","['tinggal', 'permanen', 'vatican']"
@tanyakanrl Mending loe pindah negara #KaburAjaDulu,Mending loe pindah negara,Mending loe pindah negara,mending loe pindah negara,lebih baik kamu pindah negara,"['lebih', 'baik', 'kamu', 'pindah', 'negara']","['pindah', 'negara']"
Kalau ada kesempatan dan sponsor untuk #KaburAjaDulu kira-kira ke negara mana? Negara yang sejuk dan semua sudah teratur. https://t.co/4X4t5l1PLL,Kalau ada kesempatan dan sponsor untuk  kirakira ke negara mana Negara yang sejuk dan semua sudah teratur,Kalau ada kesempatan dan sponsor untuk  kirakira ke negara mana Negara yang sejuk dan semua sudah teratur,kalau ada kesempatan dan sponsor untuk  kirakira ke negara mana negara yang sejuk dan semua sudah teratur,kalau ada kesempatan dan sponsor untuk kirakira ke negara mana negara yang sejuk dan semua sudah teratur,"['kalau', 'ada', 'kesempatan', 'dan', 'sponsor', 'untuk', 'kirakira', 'ke', 'negara', 'mana', 'negara', 'yang', 'sejuk', 'dan', 'semua', 'sudah', 'teratur']","['kesempatan', 'sponsor', 'kirakira', 'negara', 'negara', 'sejuk', 'teratur']"
@ardisatriawan Min S2 ato S3 luar negeri beraaaaat..... Syarat maksimal gaji minimal #kaburajadulu,Min S ato S luar negeri beraaaaat Syarat maksimal gaji minimal,Min S ato S luar negeri beraaaaat Syarat maksimal gaji minimal,min s ato s luar negeri beraaaaat syarat maksimal gaji minimal,min s atau s luar negeri beraaaaat syarat maksimal gaji minimal,"['min', 's', 'atau', 's', 'luar', 'negeri', 'beraaaaat', 'syarat', 'maksimal', 'gaji', 'minimal']","['min', 'negeri', 'beraaaaat', 'syarat', 'maksimal', 'gaji', 'minimal']"
@yyeyunikeu kayaknya wishlist mus m aku adalah #kaburajadulu,kayaknya wishlist mus m aku adalah,kayaknya wishlist mus m aku adalah,kayaknya wishlist mus m aku adalah,kayaknya wishlist mus m aku adalah,"['kayaknya', 'wishlist', 'mus', 'm', 'aku', 'adalah']","['kayaknya', 'wishlist', 'mus']"
@197OCHII pertanda harus #kaburajadulu sih,pertanda harus  sih,pertanda harus  sih,pertanda harus  sih,pertanda harus sih,"['pertanda', 'harus', 'sih']",['pertanda']
Makin baca reply2nya makin pengen kaburajadulu anjir,Makin baca replynya makin pengen kaburajadulu anjir,Makin baca replynya makin pengen kaburajadulu anjir,makin baca replynya makin pengen kaburajadulu anjir,makin baca replynya makin pengen kaburajadulu anjing,"['makin', 'baca', 'replynya', 'makin', 'pengen', 'kaburajadulu', 'anjing']","['baca', 'replynya', 'pengen', 'kaburajadulu', 'anjing']"
lebih baik kabur drpd kalah #kaburajadulu,lebih baik kabur drpd kalah,lebih baik kabur drpd kalah,lebih baik kabur drpd kalah,lebih baik kabur drpd kalah,"['lebih', 'baik', 'kabur', 'drpd', 'kalah']","['kabur', 'drpd', 'kalah']"
Emang paling bener #kaburajadulu,Emang paling bener,Emang paling bener,emang paling bener,emang paling benar,"['emang', 'paling', 'benar']",['emang']
@bettermezszv @tanyarlfes kan kita #KaburAjaDulu ,kan kita,kan kita,kan kita,kan kita,"['kan', 'kita']",[]
@milo0enaAk Kalau mikir jangka panjang yah mending di luar negeri drpd di indonesia sudah terlalu korup Lanjutan dr #kaburajadulu ,Kalau mikir jangka panjang yah mending di luar negeri drpd di indonesia sudah terlalu korup Lanjutan dr,Kalau mikir jangka panjang yah mending di luar negeri drpd di indonesia sudah terlalu korup Lanjutan dr,kalau mikir jangka panjang yah mending di luar negeri drpd di indonesia sudah terlalu korup lanjutan dr,kalau mikir jangka panjang yah lebih baik di luar negeri drpd di indonesia sudah terlalu korupsi lanjutan dr,"['kalau', 'mikir', 'jangka', 'panjang', 'yah', 'lebih', 'baik', 'di', 'luar', 'negeri', 'drpd', 'di', 'indonesia', 'sudah', 'terlalu', 'korupsi', 'lanjutan', 'dr']","['mikir', 'jangka', 'yah', 'negeri', 'drpd', 'indonesia', 'korupsi', 'lanjutan', 'dr']"
Jadi sebenarnya Indonesia baik-baik aja tapi tagar dubuat bikin kegaduhan? #kaburajadulu berarti ga relevan karena sebenarnya Indonesia punya lapangan kerja melimpah birokrasi efisien ga ada pungli aparat keamanan mengayomi dan 13 poin ini palsu? https://t.co/km0dfxKge4,Jadi sebenarnya Indonesia baikbaik aja tapi tagar dubuat bikin kegaduhan  berarti ga relevan karena sebenarnya Indonesia punya lapangan kerja melimpah birokrasi efisien ga ada pungli aparat keamanan mengayomi dan  poin ini palsu,Jadi sebenarnya Indonesia baikbaik aja tapi tagar dubuat bikin kegaduhan  berarti ga relevan karena sebenarnya Indonesia punya lapangan kerja melimpah birokrasi efisien ga ada pungli aparat keamanan mengayomi dan  poin ini palsu,jadi sebenarnya indonesia baikbaik aja tapi tagar dubuat bikin kegaduhan  berarti ga relevan karena sebenarnya indonesia punya lapangan kerja melimpah birokrasi efisien ga ada pungli aparat keamanan mengayomi dan  poin ini palsu,jadi sebenarnya indonesia baikbaik saja tapi tagar dubuat bikin kegaduhan berarti ga relevan karena sebenarnya indonesia punya lapangan kerja melimpah birokrasi efisien ga ada pungli aparat keamanan mengayomi dan poin ini palsu,"['jadi', 'sebenarnya', 'indonesia', 'baikbaik', 'saja', 'tapi', 'tagar', 'dubuat', 'bikin', 'kegaduhan', 'berarti', 'ga', 'relevan', 'karena', 'sebenarnya', 'indonesia', 'punya', 'lapangan', 'kerja', 'melimpah', 'birokrasi', 'efisien', 'ga', 'ada', 'pungli', 'aparat', 'keamanan', 'mengayomi', 'dan', 'poin', 'ini', 'palsu']","['indonesia', 'baikbaik', 'tagar', 'dubuat', 'bikin', 'kegaduhan', 'relevan', 'indonesia', 'lapangan', 'kerja', 'melimpah', 'birokrasi', 'efisien', 'pungli', 'aparat', 'keamanan', 'mengayomi', 'poin', 'palsu']"
